Set,name,graphics,text,type,rarity,unique,prowess,body,mind,influence,mp,home_site,skills,race,class,cp,back,sp,specific,strikes,subclass,site_type,site_path,draw,draw_opp,region,haven,playable,auto_attack,special
gw,Dragon's Abode,Dragon's Abode.jpg,Dragon-lord specific. Playable on a Dragon’s Den [K]. The site is never discarded or returned to the location deck. You may discard this card during the organization phase. This card is worth 1 mp if played on a Dragon’s Den that is not your Dragon-lord’s home site. Cannot be duplicated on a given site.,Minion Resource,C,,,,,,(1),,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Dragon's Den,Dragon's Den.jpg,,Fallen-wizard Site,C,,,,,,,,,,,,1,1,,,,{K},,2,2,Special,,,,"Dragon-lord only. Place this card on your Dragon-lord's home site (or any site that has become one of your Dragon's Dens). The site is considered a Darkhaven [K] for your companies. Nothing is considered playable here as written on the site card. All attacks against your companies at the site are cancelled, except CvCC involving a Dragon. You may store items at this site during the end-of-turn phase. Whenever you store an item at this site, any opponent may take a version of the item from his sideboard to his hand. This card returns to your location deck when its associated site leaves active play."
gw,Dragon's Dream,Dragon's Dream.jpg,"Dragon-lord specific. Dream mode. Playable during the organization phase on your Dragon-lord at a Dragon’s Den [K]. Return this card to your hand: when you play another mode card, or during your organization phase if you so choose. +5 to your GI. Discard this card if your Dragon-lord moves.",Minion Resource,C,,-2,-,,-2,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Dragon's Nest,Dragon's Nest.jpg,"Dragon-lord specific. Playable on a Daelomin or Leucaruth at a Dragon’s Den [K], if you have Mating Duel in play. Tap the Dragon. +2 to her prowess. If you have Mating Duel in play, yaou may rotate this card 90° once during the site phase and tap Dragon to play one Dragon-egg; the item may also be taken from your discard pile. When this card is rotated 360°, discard Mating Duel or discard this card. Discard this card if the Dragon moves. Cannot be duplicated on a given Dragon.",Minion Resource,C,,+2,-,,,1,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Dragon's Sleep,Dragon's Sleep.jpg,"Playable on a Dragon character moving awayfrom his home site or any Dragon’s Den [K]. Unless opponent discards Hunger or a manifestation of target Dragon from his hand, the Dragon must return to his site of origin (also discard Wide Awake if played on the Dragon).",Hazard,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Dragon-hatchling,Dragon-hatchling.jpg,"Dragon-lord specific. Playable by your Dragon-lord at a tapped or untapped site containing a hoard, if you discard a Dragon-egg from the company. Each time Dragon-hatchling’s company defeats a creature you may place it with him : for every two creatures placed with him, his prowess is increased by two and his mind by one.",Minion Resource,C,,4,8,1,,1,,,,Ally,,,1,Dragon-lord,,,,,,,,,,,
gw,Dragon-totem,Dragon-totem.jpg,"Dragon-lord specific. Leader only: +2 to bearer’s rolls to bring characters into play.All Nazgûl, Orc and Troll attacks keyed to Dark-domains [d], Dark-holds [D] and Shadow-holds [S] against his company are not detainment. Cannot be duplicated on a given leader.",Minion Resource,C,,,,,+2,,,,,Minor Item,1,,,Dragon-lord,,,,,,,,,,,
gw,Durlog,Durlog.jpg,Unique. Dragon-lord specific. Leader. Discard on a body check result of 8. +3 EI against Orcs.,Minion Character,R,yes,5,8,5,1,2,any Dragon's Den,Warrior/Ranger,Orc,,,,,Dragon-lord,,,,,,,,,,,
gw,Eärcaraxë the Sea-Fang,Eärcaraxë the Sea-Fang.jpg,"Unique. Manifestation of Eärcaraxë. Sea Serpent. May not move. When moving with a mode card, may only use sites in c (if Doors of Night is in play may also use Port sites).tap to join one of your moving company facing an attack keyed to c. One strike must target Eärcaraxë.",Stage Resource,C,yes,10,7,8,4,,Isle of the Ulond,,,,,,,,,,,,,,,,,,
gw,Elfhewer,Elfhewer.jpg,"Unique. Weapon. Playable at Goblin-gate bya leader. May also be played at a tapped Goblin-gate, if Great Lord of Goblin-gate is in the company. This item is worth 3 mp if borne by an Orc leader. Warrior only: +2 prowess to a maximum of 9 (+3 against Elves to a maximum of 10 and -1 to strike’s body).",Minion Resource,C,yes,+2,-,,+1,2(3),,,,Special Item,2,,,,,,,,,,,,,,
gw,Enchanted Stare,Enchanted Stare.jpg,"Dragon-lord specific. Dragon-magic. Playable during the site phase on a character (even a non-Dwarf hero) in your Dragon-lord’s company, who was just brought into play by your Dragon-lord (or on a character in your starting company). Target character requires 3 points of influence to control and may only be controlled by your Dragon- lord or GI. No rolls are required to keep him in play. Alternatively may also be played on a hero character that was just influenced away from an opponent’s company by your Dragon-lord.Cannot be duplicated by a given player.",Minion Resource,U,,+1,-1,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Enslaved Dwarves,Enslaved Dwarves.jpg,"Unique. Dragon-lord specific. Slave faction. Playable at a tapped or untapped site that is an ancient Dwarf-ruin if the influence check is greater than 9. Standard Modification: discard a Dragon-magic card from your hand (+3). You may bring non-unique Dwarves into play at thesite where this faction is in play. Your Dwarves may play hero ore resources and Reforging as if minion cards; and these are worth full mp. Additionally, all Dwarf factions in play at sites in the same territory as this faction have their mp reduced by 1 (to a minimum of 1).",Minion Resource,R,yes,,,,,1,,,,Dwarf Faction,,,1,Dragon-lord,,,,,,,,,,,
gw,Fire-storm,Fire-storm.jpg,"Fire-dragon only. Playable on a Fire-dragon facing an attack. +4 to the Dragon’s prowess, -2 to the body of any strike he faces. Alternatively, playable on a Fire-dragon during CvCC, before strikes are assigned. Each opposing character must make a body check, modified by –1 for each armor, helmet and/or shield item he bears (only 1 item of the same type). If he fails this body check the character becomes wounded.Cannot be duplicated on a given attack or CvCC.",Minion Resource,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Fram Wyrmslayer,Fram Wyrmslayer.jpg,Unique. Grey Agent. Manifestation of Fram Framson. +3 prowess against Dragons and Drakes. May not be among the starting characters and may only be brought into play at his home site. Agent only: tap: if at a site where an opponent’s Dragon faction is in play to face the associated Dragon attack. +1 to any resulting body checks after the attack. If the attack is defeated place the faction in the out of play pile.,Hero Resource,R,yes,5,8,6,0,2,Framsburg,,,Warrior/Ranger Man,,,,,,,,,,,,,,,
gw,Gem and Gold Crusted Belly,Gem and Gold Crusted Belly.jpg,Dragon-lord specific. Playable on your Dragon-lord if your Gleaming Golden Hoard in play. +1 to his body (to a maximum of 10).,Minion Resource,U,,-,+1,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Gleaming Golden Hoard,Gleaming Golden Hoard.jpg,"Dragon-lord specific. Playable on a Dragon’s Den [K]. If you have stored at least 10 mp from hoard items (count 1 mp for each hoard minor item), your hand size is increased by 1. If you have stored at least 2 Ore resources, this card is worth 1 mp. Discard this card when the site leaves active play. Cannot be duplicated by a given player",Minion Resource,C,,,,,,(1),,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Grashûkh,Grashûkh.jpg,Unique. Uruk-hai. Leader. Discard on a body check result of 8. +2 prowess against Dragons and Drakes. +2 EI against Orcs. Discard when in the company with a Dragon. tap: during the organization phase to allow his company to move through a mountain region (and not stop at a site therein).,Minion Character,C,yes,6,8,6,0,2,"Deep Cleft, Gundabad",Warrior/Ranger,Orc,,,,,,,,,,,,,,,,
gw,Great Northern Bear,Great Northern Bear.jpg,"Animal. Bear. 1 strike. +4 prowess against Dragons. May be played keyed to Anduin Vales, Dragon Gap, Grey Mountains, Grey Mountain Narrows, Gundabad, Heart of Mirkwood, High Pass, Northern Rhovanion, Western Mirkwood, Withered Heath, and Woodland Realm; and may also be played non-Haven sites in these regions. May not be played against a company containing a character with Beorn’s House as a home site. Cannot be duplicated on a given movement/hazard phase.",Hazard,U,,12,7,,,2*,,,,Creature,,,,,1,"Animal, Bear",,,,,,,,,
gw,Great Ruin and Fire under Tree,Great Ruin and Fire under Tree.jpg,"Dragon-lord specific. Playable during the site phase on a non- Dragon’s Den, non-Ruins & Lairs [R] site in a Wilderness [w] where your Dragon-lord is present. The company faces 3 attacks (same type as automatic attack) — 4 strikes with 9 prowess, 3 strikes with 11 prowess, 2 strikes with 13 prowess. Following these attacks, tap your Dragon-lord or discard this card. If not discarded, discard any factions in play at this site. Your opponents may not play any character or resource at this site. All versions of this site become a Ruins & Lairs [R]. Discard this card when the site is discarded or returned to its location deck. Cannot be duplicated at a given site.",Minion Resource,C,,,,,,3,,,,Permanent-event,,,2,Dragon-lord,,,,,,,,,,,
gw,Greater Storms,Greater Storms.jpg,"Environment. Playable on a company using flying movement. Make a roll. If the result is less than 7, tap all characters and allies in the company. Otherwise, the company is not considered flying for the rest of the turn (change the site path accordingly; if the company cannot reach the new site, defender must choose a new within 2 regions of the original site of destination).",Hazard,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Grim-faced Northman,Grim-faced Northman.jpg,"Dragon-lord specific. tap: during the site phase, if at one of his home sites, to take one character, ally or faction playable there from your discard pile or play deck (reshuffle) to your hand.",Minion Character,C,,3,7,3,0,1,any site in Northern or Southern Rhovanion,Warrior/Ranger,Man,,,,,Dragon-lord,,,,,,,,,,,
gw,Grimson the Fearless,Grimson the Fearless.jpg,"Unique. His prowess is only modified by -1 when not tapping to face a strike. If you are a Dragon-lord, Grimson the Fearless may play allies normally playable only by your Dragon-lord; he may control a maximum of 2 such allies. Your Dragon-lord may transfer any allies he controlls to Grimson during the organization phase.",Minion Character,R,yes,5/8,,6,1,2,Framsburg,Warrior/Ranger,Man,,,,,,,,,,,,,,,,
gw,Gyogorasag Sanctuary,Gyogorasag Sanctuary.jpg,,Hero Site,U,yes,,,,,,,,,,,1,,,,,{F},{w}{b}{w}{w}{w},3,3,Southern Rhovanion,Lórien,,,this site is considered a Haven [H] for the purpose of healing.
gw,Gyogorasag Sanctuary,Gyogorasag Sanctuary.jpg,,Minion Site,U,yes,,,,,,,,,,,1,,,,,{F},{d}{w},1,2,Southern Rhovanion,Dol Guldur,Items* (minor) *—non battle gear items only—,Men — each character faces a strike with 6 prowess (detainment against covert company),Characters in a covert company may heal at this site. Poison and Wose Shamanist Potion may be played from sideboard at this site.
gw,Haeldwyn,Haeldwyn.jpg,"Unique. +2 EI against Orc characters with a mind lower than his. If controlling a Stolen Knowledge card, he can use sorcery. If controlling a Lost Knowledge card, he can use spirit-magic.",Minion Character,C,yes,4,9,6,1,2,"Mathlaburg, Tower of the Wolf-friend",Scout/Sage,Man,,,,,,,,,,,,,,,,
gw,Hunger,Hunger.jpg,"Dragon-lord specific. Hunting mode. Playable during the organization phase on your Dragon-lord at a Dragon’s Den [K]. Return this card to your hand: when you play another mode card, or during your organization phase if you so choose. Target character must move every turn to a new site and must move through at least 1 Wilderness [Ww]. He cannot be in company with non-dragon allies or characters or move to a site more than 4 regions away from any of his Dragon’s Dens [K] (6 regions if the dragon is winged). Hazard creature attacks against his company cannot be cancelled.",Minion Resource,U,,,,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Hunting for Food,Hunting for Food.jpg,"Dragon-lord specific. Playable during the organization phase on your Dragon-lord, if not at a Dragon’s Den [K]. Name a hazard creature that can be keyed to his current site or the region containing that site (ignore multiple region symbols). If the hazard player has such a creature in his hand, it immediately attacks the Dragon-lord as though he were a one character company. Otherwise he must show his hand.",Minion Resource,C,,,,,,,,,,Short-event,,,,Dragon-lord,,,,,,,,,,,
gw,Hunting for Sport,Hunting for Sport.jpg,"Dragon-lord specific. Hunting mode. Playable during the organization phase on your Dragon-lord at a Dragon’s Den [K]. Return this card to your hand: when you play another mode card, or during your organization phase if you so choose. The Dragon may not be in a company with other characters, and may move to sites in the same or adjacent regions as one of his Dragon’s Dens [K] or his home site. You may play a hazard creature manifestation of the Dragon on any company moving through the region containing the Dragon’s current site or an adjacent region. If a strike fails, the Dragon is wounded (no body check is required).",Minion Resource,C,,/,,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Itangast the Guest-eater,Itangast the Guest-eater.jpg,"Unique. Manifestation of Itangast. Fire-dragon. May not move.+4 to his rolls for offering attempts. -3 to your influence attempts against manifestations of Ando-anca, Smaug, Scatha and Throkmaw.",Stage Resource,C,yes,11,8,10,5,,Gold Hill,,,,,,,,,,,,,,,,,,
gw,Kelvar Enraged,Kelvar Enraged.jpg,"All attacks by Apes, Bears, Boars, Eagles andWhales receive +1 strike and -2 body. Each character wounded by such an attack must make an additional body check. Discard this card if such an attack is defeated.",Hazard,C,,,,,,,,,,Long-event,,,,,,,,,,,,,,,
gw,Khuzadrepa,Khuzadrepa.jpg,"Unique. Cold-dragon. May be played at Thunder Cleft. 2 strikes. Attacker chooses defending characters. If Doors of Night is in play, may also be played keyed to Forrhûn, Grey Mountains, Iron Hills, Northern Rhovanion, and Withered Heath; may also be played at sites in these regions. +2 prowess against Dwarves.",Hazard,R,yes,15,9,,,5,,,,Creature,,,,,2,Cold-dragon,,,,,,,,,
gw,Khuzadrepa Ahunt,Khuzadrepa Ahunt.jpg,"Unique. Any company moving in Forrhûn, Grey Mountains, Iron Hills, Northern Rhovanion and/or Withered Heath immediately faces a Cold-dragon attack (considered a hazard creature attack) — 3 strikes at 13/8 (attacker chooses defending characters); +2 prowess against Dwarves. If Doors of Night is in play, this attack also affects: Dorwinion, Eorstan and Grey Mountain Narrows.",Hazard,R,yes,13,8,,,5,,,,Long-event,,,,,,,,,,,,,,,
gw,Khuzadrepa at Home,Khuzadrepa at Home.jpg,"Unique. Unless Khuzadrepa Ahunt is in play, Thunder Cleft has an additional automatic- attack: Cold-dragon — 2 strikes at 16/9. In addition, each Dwarf wounded by a strike from a Balrog, Dragon or Spawn (attack) must make a CP modified by -1 (after the body check).",Hazard,R,yes,16,9,,,5,,,,Permanent-event,,,,,,,,,,,,,,,
gw,Khuzadrepa Roused,Khuzadrepa Roused.jpg,"Unique. Manifestation of Khuzadrepa. Playable at Thunder Cleft if the influence check is greater than 14. Modifications: influencer discards a major item (+3) or a greater item (+6); if a manifestation of Agburanar or Itangast is in play (-3). All attacks by manifestations of Khuzadrepa against any of your companies are cancelled. Any company moving in Forrhûn, Grey Mountains, Iron Hills, Northern Rhovanion and/or Withered Heath faces an attack: Cold-dragon — 2 strikes at 15/9 prowess/body (attacker chooses defending characters); +2 prowess against Dwarves.",Minion Resource,R,yes,,,,,5,,,,Dragon Faction,,,,,,,,,,,,,,,
gw,Kine of Araw,Kine of Araw.jpg,"Animals. Each character in the company faces a strike. May be played keyed to Dorwinion, Forrhûn, Harrhûn, Horse Plains and Southern Rhovanion; and also at Ruins & Lairs [R] in these regions. +2 prowess if the company has already faced Kine of Araw this turn. A character with a home site in any of the above regions may tap to cancel an attack by Kine of Araw against his company.",Hazard,C,,7,-,,,1,,,,Creature,,,,,a,Animals,,,,,,,,,
gw,Last Threads Loosed,Last Threads Loosed.jpg,"Playable on a character in the company of a Dragon. Make a roll and add opponent’s P; if the result is lower than target character’s mind, discard this card. Otherwise, discard any Dragon Mindbend, Enchanted Stare, or Oath to the Dragon from the character. Unless target character is controlled by a Dragon, any influence check against him by a Dragon automatically fails. Cannot be duplicated by a given player.",Hazard,C,,,,,,,,,,Permanent-event,,,,,,,,,,,,,,,
gw,Leucaruth the Wrathful,Leucaruth the Wrathful.jpg,"Unique. Manifestation of Leucaruth. Female. Fire-dragon. May not move.If an opponent’s company containing a Dwarf is at a site in Withered Heath or its adjacent regions she may move to that site without mode card. She must always (attempt to) move to a Dragon’s Den [K] the next turn(s). +2 prowess against Dwarves, and -2 to the body of Dwarves strikes against her.",Stage Resource,C,yes,9,8,8,3,,Irerock,,,,,,,,,,,,,,,,,,
gw,Made His Dwelling There,Made His Dwelling There.jpg,"Dragon-lord specific. Playable on a non-Dragon’s lair Ruins & Lairs [R] in a Wilderness [w], Border-land [b] or Shadow-land [s], if your Dragon-lord is there. The site becomes one of your Dragon’s Dens [K] (place a copy of Dragon’s Den with the site). If your Dragon-lord is at this site, the automatic-attacks for all other versions of this site are replaced with that of your Dragon-lord’s home site.",Minion Resource,U,,,,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Marauding Fire,Marauding Fire.jpg,"Fire-dragon only. Playable on a Fire-dragon facing a creature attack, before strikes are assigned. Make a roll and add the Dragon’s prowess. If the result is higher than the attack’s prowess, all of the attack’s strikes fail; make a body check to see if the creature is defeated (the creature gains +1 body for every strike of the attack). If the creature is not defeated, the attack proceeds normally.",Minion Resource,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Mating Duel,Mating Duel.jpg,"Dragon-lord specific. Playable on an untapped Daelomin or Leucaruth, if her company faces an attack by a non Daelomin non Leucaruth unique Dragon manifestation. Tap your Dragon-lord; the attack is cancelled. You may rotate Mating Duel by 90° to cancel an attack by any manifestation of this Dragon against your Dragon-lord’s company or convert the attack to detainment against any other of your companies. Discard Mating Duel when it is rotated 360°.Cannot be duplicated for a given Dragon manifestation.",Minion Resource,C,,,,,,1,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Memories of Ancalagon,Memories of Ancalagon.jpg,"Dragon only. Dragon-magic. Any character at the same site as a Dragon character (or a site in the same region if for a winged Dragon-lord) must make a CP modified by -1. Alternatively, play to heal a Dragon character or ally (from wounded to tapped).",Minion Resource,U,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Memories of Glaurung,Memories of Glaurung.jpg,Dragon only. Dragon-magic. Place this card on a Dragon character as he enters play. He may use spirit-magic and all spirit-magic cards are also considered Dragon-magic cards to him.,Minion Resource,U,,,,,,,,,,Permanent-event,,,1,,,,,,,,,,,,
gw,Men of the Wood,Men of the Wood.jpg,"Men. Each character in the company faces a strike (detainment against covert and hero companies). May be played keyed to Anduin Vales, Heart of Mirkwood and Western Mirkwood; and may also be played keyed to non-Haven sites in these regions. May also be played on Woodmen-town or Mathlaburg, creating an additional automatic-attack (discard Men of the Wood at the end of the site phase). May not be played against a covert or hero company containing a character with Woodmen-town as a home site.",Hazard,C,,10,6,,,2*,,,,Creature,,,,,"men. each character in the company faces a strike (detainment against covert and hero companies). may be played keyed to anduin vales, heart of mirkwood and western mirkwood; and may also be played keyed to non-haven sites in these regions. may also be played on woodmen-town or mathlaburg, creating an additional automatic-attack (discard men of the wood at the end of the site phase). may not be played against a covert or hero company containing a character with woodmen-town as a home site.",Men,,,,,,,,,
gw,Oath to the Dragon,Oath to the Dragon.jpg,"Dragon-lord specific. Playable on a character inyour Dragon-lord’s company (or in your starting company). The character becomes a leader (if not already), receives +1 to his CP and cannot be discarded by a body check. Additionally the character can only be controlled by your Dragon-lord or GI, and no rolls are required to keep him in play. All influence attempts against this character are modified by -3. Cannot be duplicated by a given player.",Minion Resource,U,,,,,,,,,,Permanent-event,+1,,1,Dragon-lord,,,,,,,,,,,
gw,Old and Cunning,Old and Cunning.jpg,"Dragon only. Dragon-magic. Playable on an untapped Sage Dragon character. tap Dragon and take one resource from your sideboard to your hand. Next time the Dragon would untap, discard this card instead.",Minion Resource,C,,,,,,,,,,Permanent-event,,,1,,,,,,,,,,,,
gw,Orc of the Claw,Orc of the Claw.jpg,Dragon-lord specific. Discard on a body checkresult of 7. -3 to his influence attempts.,Minion Character,C,,5/7,,3,0,1,any Dragon's Den,Warrior,Orc,,,,,Dragon-lord,,,,,,,,,,,
gw,Orcs of His Dominion,Orcs of His Dominion.jpg,"Dragon-lord specific. Playable on your Dragon-lord, if he is at an Orc-hold where you have a unique Orc faction in play if you have 5 P or more. Any Orc-hold where you have an Orc faction in play is considered one of your Dragon’s Dens (place a Dragon’s Den copy on it). If at such a site, your Dragon-lord may tap to give all your Orc characters +1 prowess and +1 body until the end of the turn, and any non-unique Orc creature may be played against all opponents’ companies keyed to the region containing this site.Discard this card if you have no unique Orc faction in play or you have less than 5 P. Cannot be duplicated by a given player.",Minion Resource,U,,,,,,2,,,,Permanent-event,,,2,Dragon-lord,,,,,,,,,,,
gw,Orcs of the Claw,Orcs of the Claw.jpg,Dragon-lord specific. Playable by your Dragon-lord at a Dragon’s Den [K] if the influence check is greater than 8. Standard Modifications: Each Orc faction in play at a site in the same or an adjacent region as the Dragon’s Den (-2). This faction is worth 1 extra mp (to a maximum of 4 mp) for any other Orc faction you have in play at a site in the same or an adjacent region. Cannot be duplicated by a given player.,Minion Resource,U,,,,,,1(*),,,,Orc Faction,,,2,Dragon-lord,,,,,,,,,,,
gw,Pierced with Enchantment,Pierced with Enchantment.jpg,"Dragon only. Dragon-magic. Playable on a Dragon character during CvCC, before strikes are assigned. Choose a non-avatar, non-ringwraith, non-undead, non-maia character in opponent’s company. Make a roll: if the result is greater than the character’s mind (double an ally’s mind) +2, the character is treated as if being in the Dragon character’s company during CvCC. The character does not leave his company. Cannot be duplicated on a given attack.",Minion Resource,C,,,,,,,,,,Short-event,,,,,,,,,,,,,,,
gw,Riches Gathered,Riches Gathered.jpg,"Playable on a Dragon-lord. At the end of his organisation phase the Dragon-lord must attack a number of characters in his company bearing an item, based on his P: less than 3 P: no characters; 3-5 P: 1 character; 6-8 P: 2 characters; more than 8 P: 3 characters. These attacks cannot be cancelled. Discard this card when any opponent plays an item stored at the Dragon-lord’s home site.",Hazard,C,,,,,,,,,,Permanent-event,,,,,,,,,,,,,,,
gw,Roaming,Roaming.jpg,"Roaming mode. Playable on a Dragon character at his home site or any Dragon’s Den [K]. Return this card to your hand: when you play another mode card, or during your organization phase if you so choose.The Dragon may move with region-movement, to a maximum of 2 regions (in all cases).",Minion Resource,C,,,,,,,,,,Permanent-event,,,1,,,,,,,,,,,,
gw,Scatha the Worm,Scatha the Worm.jpg,"Unique. Manifestation of Scatha. Cold-dragon. May not move. While Scatha is at Gondmaeglom your influence attempts are modified by +1. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast and Smaug. tap: when at Gondmaeglom to bring a resource short- event that can be played on a Dragon character from your discard pile to your play deck and shuffle.",Stage Resource,C,yes,9,9,9,4,,Gondmaeglom,,,,,,,,,,,,,,,,,,
gw,Scorba the Rubine,Scorba the Rubine.jpg,Unique. Manifestation of Scorba. Winged. Fire-dragon. May not move. +4 to his riddling rolls. tap to cancel an attack against his company keyed to s.,Stage Resource,C,yes,8,8,8,4,,Zarak Dûm,,,,,,,,,,,,,,,,,,
gw,Shoot in the Eye,Shoot in the Eye.jpg,"Information. Warrior only. Playable on a Dwarf, Orc, orMan warrior during the site phase at The Wind Throneor any Dragon’s Lair. Tap the character and the site. When facing a Dragon in CvCC its body is halved (round up). Discard this card after a Dragon has been defeated by the company in CvCC, or if a dark enchanment is played on target character. Cannot be duplicated on a given character.",Hero Resource,C,,,,,,1,,,,Permanent-event,,,,,,,,,,,,,,,
gw,Sign of Might,Sign of Might.jpg,"Dragon-lord specific. Playable on your Dragon- lord if he bears The One Ring. Make a roll adding 1 for each sage in his company and each Sign of Might in play. If the result is: less than 8, your Dragon-lord is eliminated; 8-10, discard this card; 10-12, you gain 2 mp and The One Ring affects your Dragon-lord; greater than 12, you win the game. Cannot be duplicated on a given turn.",Minion Resource,U,,,,,,2,,,,Permanent-event,,,3,Dragon-lord,,,,,,,,,,,
gw,Smaug the Golden,Smaug the Golden.jpg,"Unique. Manifestation of Smaug. Winged. Fire-dragon. May not move. +4 to his riddling rolls. -3 to your influence attempts against manifestations of Ando-anca, Angurth, Itangast or Scatha.",Stage Resource,C,yes,11,8,11,5,,The Lonely Mountain,,,,,,,,,,,,,,,,,,
gw,Spell-bound,Spell-bound.jpg,"Dragon-lord specific. Dragon-magic. Playable on your Dragon-lord. Each of opponent’s non Ringwraith companies moving through the region containing your Dragon-lord’s current site must make a roll, modified by +2 for each sage, +1 for each scout or diplomat, and by -2 if your Dragon-lord is in dream mode. If the result is 10 or less, your opponent must replace the company’s new site with his version of your Dragon-lord’s current site (if available); the company may do nothing during the site phase. Discard this card afterwards.Cannot be duplicated by a given player.",Minion Resource,U,,,,,,,,,,Permanent-event,,,1,Dragon-lord,,,,,,,,,,,
gw,Stalk the Halls,Stalk the Halls.jpg,"Roaming mode. Playable on a Dragon during the organization phase. Return this card to your hand: when you play another mode card, or during your organization phase if you so choose. The Dragon may move using Under-deeps movement. +1 to his rolls required to move between adjacent Under-deeps sites. -2 to his prowess if at or moving to an Under-deeps site which surface site is not a Dragon’s Den or Darkhaven [K].",Minion Resource,C,,(-2,-),,,,,,,Permanent-event,,,1,,,,,,,,,,,,
gw,Talmog,Talmog.jpg,Unique. Dragon-lord specific. Leader. +3 EI against Orcs. Discard on a body check result of 8.,Minion Character,R,yes,7/8,,7,2,2,any Dragon's Den,Warrior/Diplomat,Orc,,,,,Dragon-lord,,,,,,,,,,,
gw,The Dragon's Disciple,The Dragon's Disciple.jpg,Dragon-lord specific. Can use spirit-magic. +2 EI against Men. Tap your Dragon-lord to play Wielder of Old Arts on The Dragon’s Diciple (if in the same company) as if he were a Dragon-lord.Cannot be duplicated by a given player.,Minion Character,U,,5/8,,5,1,2,any Dragon’s Den,Warrior/Diplomat,Man,,,,,Dragon-lord,,,,,,,,,,,
gw,Thralls,Thralls.jpg,Dragon-lord specific. Playable at a tapped or untapped non-Dragon’s Den site in the same region as one of your Dragon’s Dens [K] if the influence check is greater than 10. Standard Modifications: Dragon-lord (+3) tap: during the end-of-turn phase to allow characters to store items at the site where this faction was played (these items are considered stored at your nearest Dragon’s Den). Cannot be duplicated at a given site.,Minion Resource,C,,,,,,1,,,,Slave Faction,,,1,Dragon-lord,,,,,,,,,,,
gw,Thunder Cleft,Thunder Cleft.jpg,,Minion Site,U,yes,,,,,,,,,,,1,,,,,{R},{d}{w}{w}{w},2,2,Withered Heath,Dol Guldur,"Items (minor, major)",Dragon — 1 strike with 13 prowess (attacker chooses defending character),Ancient Dwarf-ruin. Durang may be played by a Dwarf or Orc at this site(as if at an Under-deeps site).
gw,Thunder Cleft,Thunder Cleft.jpg,,Hero Site,U,yes,,,,,,,,,,,1,,,,,{R},{w}{b}{s}{w},2,2,Withered Heath,Lórien,"Items (minor, major)",Dragon — 1 strike with 13 prowess (attacker chooses defending character),Ancient Dwarf-ruin. Durang may be played by a Dwarf at this site (as if at an Under-deeps site).
gw,Tower of the Wolf-friend,Tower of the Wolf-friend.jpg,,Minion Site,U,yes,,,,,,,,,,,1,,,,,{R},{d}{w}{w}{w},2,2,Withered Heath,Dol Guldur,"Information, Items (minor)",Wolves — 3 strikes with 6 prowess,Contains a hoard. Wild Fell Beast may be played at this site. Any company at this site has its hazard limit increased by one for every unique Dragon manifestation in play.
gw,Tower of the Wolf-friend,Tower of the Wolf-friend.jpg,,Hero Site,U,yes,,,,,,,,,,,1,,,,,{R},{w}{b}{s}{w},2,3,Withered Heath,Lórien,"Information, Items (minor)",Wolves — 3 strikes with 6 prowess,Contains a hoard. Wild Fell Beast may be played at this site. Any company at this site has its hazard limit increased by one for every unique Dragon manifestation in play.
gw,Treason the Chiefs,Treason the Chiefs.jpg,"Dragon-lord specific. Diplomat only. Playable on your diplomat Dragon-lord, if making an influence attempt against an opponent’s Man faction at a Border-hold [B]. Treat the influence attempt against the faction as if you revealed the faction from hand. If successful, put the faction in your mp; it is considered Creature points.",Minion Resource,C,,,,,,,,,,Short-event,,,,Dragon-lord,,,,,,,,,,,
gw,Turukulon the Traveller,Turukulon the Traveller.jpg,"Unique. Manifestation of Turukulon. Winged. Fire-dragon. May not move. +4 to his riddling rolls. While at a Dragon’s Den K, raise your hand size by one. tap to cancel an attack against his company keyed to w.",Stage Resource,C,yes,7,8,7,3,,Turukulon's Cave,,,,,,,,,,,,,,,,,,
gw,Ulred,Ulred.jpg,"Unique. +2 EI against Rivermen of the Anduin Vales faction. Bridge may be played on his company moving to Mathlaburg, as if moving to a Haven [H]. tap: if at a Port-on-river site to bring one Down the Hurrying Waters from your discard pile to your play deck (reshuffle).",Hero Character,R,yes,2,7,4,2,1,Mathlaburg,Sage/Diplomat,Man,,,,,,,,,,,,,,,,
